"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2886","should access secure area after login","webkit","Tue May 06 13:56:19 CEST 2025","passed","Tue May 06 13:56:22 CEST 2025","End-to-End Flow @e2e","","",""
"","162","should delete a user","","Tue May 06 11:55:40 CEST 2025","passed","Tue May 06 11:55:40 CEST 2025","","users.test.ts","User API Tests",""
"","2","should add two numbers correctly","","Tue May 06 11:55:40 CEST 2025","passed","Tue May 06 11:55:40 CEST 2025","","calculator.test.ts","Calculator Unit Tests",""
"","3958","should access secure area after login","firefox","Tue May 06 13:56:14 CEST 2025","passed","Tue May 06 13:56:18 CEST 2025","End-to-End Flow @e2e","","",""
"","3205","should complete end-to-end flow successfully","Mobile Safari","Tue May 06 13:56:22 CEST 2025","passed","Tue May 06 13:56:25 CEST 2025","End-to-End Flow @e2e","","",""
"","4311","should handle login errors gracefully","firefox","Tue May 06 13:56:14 CEST 2025","passed","Tue May 06 13:56:18 CEST 2025","End-to-End Flow @e2e","","",""
"","3721","should handle login errors gracefully","chromium","Tue May 06 13:56:10 CEST 2025","passed","Tue May 06 13:56:14 CEST 2025","End-to-End Flow @e2e","","",""
"","407","should update an existing user","","Tue May 06 11:55:40 CEST 2025","passed","Tue May 06 11:55:40 CEST 2025","","users.test.ts","User API Tests",""
"","4285","should complete end-to-end flow successfully","webkit","Tue May 06 13:56:14 CEST 2025","passed","Tue May 06 13:56:19 CEST 2025","End-to-End Flow @e2e","","",""
"","3","should throw error when dividing by zero","","Tue May 06 11:55:40 CEST 2025","passed","Tue May 06 11:55:40 CEST 2025","","calculator.test.ts","Calculator Unit Tests",""
"","165","should get all users","","Tue May 06 11:55:40 CEST 2025","passed","Tue May 06 11:55:40 CEST 2025","","users.test.ts","User API Tests",""
"","2823","should access secure area after login","Mobile Safari","Tue May 06 13:56:23 CEST 2025","passed","Tue May 06 13:56:25 CEST 2025","End-to-End Flow @e2e","","",""
"","484","should create a new user","","Tue May 06 11:55:40 CEST 2025","passed","Tue May 06 11:55:40 CEST 2025","","users.test.ts","User API Tests",""
"","1","should multiply two numbers correctly","","Tue May 06 11:55:40 CEST 2025","passed","Tue May 06 11:55:40 CEST 2025","","calculator.test.ts","Calculator Unit Tests",""
"","0","should subtract two numbers correctly","","Tue May 06 11:55:40 CEST 2025","passed","Tue May 06 11:55:40 CEST 2025","","calculator.test.ts","Calculator Unit Tests",""
"","3339","should handle login errors gracefully","webkit","Tue May 06 13:56:16 CEST 2025","passed","Tue May 06 13:56:19 CEST 2025","End-to-End Flow @e2e","","",""
"","2470","should access secure area after login","Mobile Chrome","Tue May 06 13:56:20 CEST 2025","passed","Tue May 06 13:56:22 CEST 2025","End-to-End Flow @e2e","","",""
"","3148","should handle login errors gracefully","Mobile Safari","Tue May 06 13:56:23 CEST 2025","passed","Tue May 06 13:56:26 CEST 2025","End-to-End Flow @e2e","","",""
"","3231","should handle login errors gracefully","Mobile Chrome","Tue May 06 13:56:19 CEST 2025","passed","Tue May 06 13:56:22 CEST 2025","End-to-End Flow @e2e","","",""
"","0","should divide two numbers correctly","","Tue May 06 11:55:40 CEST 2025","passed","Tue May 06 11:55:40 CEST 2025","","calculator.test.ts","Calculator Unit Tests",""
"","5000","should complete end-to-end flow successfully","firefox","Tue May 06 13:56:10 CEST 2025","passed","Tue May 06 13:56:15 CEST 2025","End-to-End Flow @e2e","","",""
"","3064","should complete end-to-end flow successfully","Mobile Chrome","Tue May 06 13:56:19 CEST 2025","passed","Tue May 06 13:56:22 CEST 2025","End-to-End Flow @e2e","","",""
"","91","should handle 404 error when user not found","","Tue May 06 11:55:40 CEST 2025","passed","Tue May 06 11:55:40 CEST 2025","","users.test.ts","User API Tests",""
"","3748","should complete end-to-end flow successfully","chromium","Tue May 06 13:56:10 CEST 2025","passed","Tue May 06 13:56:14 CEST 2025","End-to-End Flow @e2e","","",""
"","53","should get user by ID","","Tue May 06 11:55:40 CEST 2025","passed","Tue May 06 11:55:40 CEST 2025","","users.test.ts","User API Tests",""
"","3261","should access secure area after login","chromium","Tue May 06 13:56:10 CEST 2025","passed","Tue May 06 13:56:13 CEST 2025","End-to-End Flow @e2e","","",""
